染色		{'dyeing':1.0}	{'dyeing': 3684}	dyeing
阻燃整理	{'阻燃整理':0.96104,'阻燃后整理':0.01529,'阻燃':0.01184,'阻燃剂':0.00519,'阻燃性能':0.00347,'阻燃性':0.00317}	{'flame retardant finishing':0.37849,'flame retardant finish':0.19124,'fire proofing finish':0.16335,'fire proofing':0.08765,'flame-retardant finishing':0.08367,'flame retardant':0.01594,'flame resistance finishing':0.01195,'flame retardant treatment':0.01195,'fire proofing finishing':0.00797,'flame retardancy':0.00797,'fire-retardant finishing':0.00797,'flame-retardant finish':0.00797,'retarding finishing':0.00797,'fire retardant finishing':0.00797,'flame-proof treatment':0.00797}	{'flame retardant': 544, 'flame retardancy': 494, 'flame retardant finishing': 60, 'flame retardant finish': 5, 'flame-retardant finishing': 5, 'fire proofing finish': 0, 'fire proofing': 0, 'flame resistance finishing': 0, 'flame retardant treatment': 0, 'fire proofing finishing': 0, 'fire-retardant finishing': 0, 'flame-retardant finish': 0, 'retarding finishing': 0, 'fire retardant finishing': 0, 'flame-proof treatment': 0}	flame retardant finishing
梳棉机	{'梳棉机':0.8626,'梳理机':0.08564,'梳毛机':0.02053,'纹板':0.01735,'梳理':0.01388}	{'carding machine':0.67068,'card':0.28112,'carding machines':0.0241,'cotton card':0.01205,'carding frame':0.01205}	{'carding machine': 33, 'carding machines': 26, 'card': 20, 'cotton card': 0, 'carding frame': 0}	carding machine
羊绒	{'羊绒':0.61344,'山羊绒':0.35898,'羊毛':0.01549,'羊绒纤维':0.00947,'山羊绒纤维':0.00211,'羊毛纤维':0.00029,'绵羊毛':0.00022}	{'cashmere':0.964,'cashmere fiber':0.02,'wool':0.016}	{'wool': 5349, 'cashmere': 254, 'cashmere fiber': 60}	cashmere
棉结	{'棉结':0.97417,'毛粒':0.02583}	{'nep':0.7085,'neps':0.2915}	{'neps': 40, 'nep': 25}	nep
石墨烯		{'graphene':1.0}	{'graphene': 11212}	graphene
吸附	{'吸附':0.9163,'吸附性能':0.04134,'吸附剂':0.01511,'吸收':0.01136,'吸湿性':0.00681,'吸湿性能':0.00454,'吸光度':0.00454}	{'adsorption':0.88285,'absorption':0.0795,'adsorbent':0.02092,'sorption':0.01674}	{'adsorption': 15213, 'absorption': 2556, 'sorption': 2167, 'adsorbent': 201}	adsorption
纺织	{'纺织品':0.71148,'纺织':0.24165,'织物':0.04688}	{'textile':0.90336,'textiles':0.08403,'textile manufacturing':0.01261}	{'textiles': 5576, 'textile': 666, 'textile manufacturing': 30}	textile
正交试验	{'正交试验':0.80427,'正交实验':0.16174,'正交试验法':0.01888,'正交设计':0.01511}	{'orthogonal test':0.56652,'orthogonal experiment':0.32618,'orthogonal experiments':0.04721,'orthogonal tests':0.02575,'orthogonal testing':0.01288,'orthogonal experimental':0.01288,'orthogonality experiment':0.00858}	{'orthogonal experiment': 77, 'orthogonal test': 42, 'orthogonal experiments': 7, 'orthogonal tests': 4, 'orthogonal testing': 4, 'orthogonal experimental': 3, 'orthogonality experiment': 0}	orthogonal test
染色牢度	{'色牢度':0.62094,'染色牢度':0.36619,'牢度':0.01287}	{'color fastness':0.81034,'dyeing fastness':0.12069,'colour fastness':0.04741,'fastness':0.02155}	{'color fastness': 1094, 'fastness': 158, 'colour fastness': 60, 'dyeing fastness': 13}	colour fastness
节能	{'节能':0.86239,'节能降耗':0.06539,'节能减排':0.05711,'节能环保':0.00776,'节电':0.00735}	{'energy saving':0.43723,'energy-saving':0.22511,'energy conservation':0.20779,'energy economy':0.08225,'saving energy':0.03463,'save energy':0.01299}	{'energy conservation': 769, 'energy saving': 54, 'energy-saving': 14, 'saving energy': 13, 'save energy': 4, 'energy economy': 3}	energy saving
漂白		{'bleaching':0.93644,'bleach':0.06356}	{'bleaching': 1249, 'bleach': 18}	bleaching
氨纶	{'氨纶':0.76391,'聚氨酯':0.11451,'聚氨基甲酸酯纤维':0.06033,'氨纶丝':0.0417,'氨纶包芯纱':0.00849,'氨纶纤维':0.00603,'聚氨酯纤维':0.00503}	{'spandex':0.68326,'polyurethane':0.1267,'polyurethane fiber':0.0905,'polyurethane fibre':0.05882,'polyurethane filament':0.01357,'spandex fiber':0.00905,'urethane elastic fibre':0.00905,'urethane':0.00905}	{'polyurethane': 550, 'spandex': 51, 'polyurethane fiber': 27, 'urethane': 17, 'polyurethane fibre': 0, 'polyurethane filament': 0, 'spandex fiber': 0, 'urethane elastic fibre': 0}	spandex
抗菌性	{'抗菌性':0.39338,'抗菌性能':0.36596,'抗菌':0.14852,'抑菌性能':0.02319,'抑菌性':0.01609,'抗菌活性':0.01397,'抑菌活性':0.01284,'抗微生物性':0.00658,'抑菌率':0.0059,'抑菌':0.00521,'抗菌效果':0.00388,'抑菌效果':0.00259,'抗菌整理':0.00095,'抗菌剂':0.00095}	{'antibacterial property':0.41706,'antibacterial':0.11848,'antibiotic property':0.07583,'antibacterial activity':0.06635,'antibacterial properties':0.06161,'anti-bacterial property':0.04265,'antibiotic properties':0.04265,'antimicrobial properties':0.02844,'antimicrobial activity':0.0237,'antimicrobial property':0.0237,'bacteria repellency':0.0237,'antibacterial performance':0.01896,'antibacterial effect':0.01422,'antimicrobial':0.01422,'antibacterial ability':0.00948,'anti-bacterial properties':0.00948,'anti-bacterial':0.00948}	{'antimicrobial activity': 1337, 'antibacterial': 1330, 'antibacterial properties': 1274, 'antibacterial activity': 1024, 'antimicrobial': 625, 'antimicrobial property': 295, 'antibacterial property': 186, 'anti-bacterial': 81, 'antimicrobial properties': 73, 'antibacterial performance': 66, 'antibacterial effect': 39, 'antibacterial ability': 31, 'anti-bacterial properties': 9, 'anti-bacterial property': 4, 'antibiotic property': 3, 'antibiotic properties': 0, 'bacteria repellency': 0}	antibacterial property
酸性染料		{'acid dyes':0.62896,'acid dye':0.37104}	{'acid dye': 301, 'acid dyes': 135}	acid dye
染料	{'染料':0.85114,'染色':0.14043,'染化料':0.00843}	{'dye':0.49315,'dyes':0.39726,'dyestuff':0.10959}	{'dyes': 5729, 'dye': 1518, 'dyestuff': 16}	dyestuff
粘胶纤维	{'粘胶纤维':0.72565,'黏胶纤维':0.18699,'粘胶':0.06902,'黏胶':0.01499,'人棉':0.00206,'黏纤':0.00129}	{'viscose fiber':0.85185,'viscose fibre':0.06481,'viscose':0.05556,'viscose fibers':0.00926,'rayon':0.00926,'rayon fiber':0.00926}	{'rayon': 549, 'viscose': 286, 'viscose fibers': 123, 'viscose fiber': 56, 'viscose fibre': 12, 'rayon fiber': 7}	viscose fibre;viscose rayon
超声波	{'超声波':0.98727,'超声':0.01273}	{'ultrasonic':0.53456,'ultrasonic wave':0.28111,'ultrasound':0.16129,'ultrasonics':0.01382,'ultrasound wave':0.00922}	{'ultrasonics': 965, 'ultrasound': 600, 'ultrasonic': 88, 'ultrasonic wave': 13, 'ultrasound wave': 0}	supersonic wave
水性聚氨酯	{'水性聚氨酯':0.99038,'聚氨酯':0.00869,'氨纶':0.00093}	{'waterborne polyurethane':0.79808,'water-borne polyurethane':0.08173,'aqueous polyurethane':0.05288,'water-based polyurethane':0.03846,'waterborne pu':0.00962,'water-borne polyurethanes':0.00962,'polyurethane':0.00962}	{'polyurethane': 550, 'waterborne polyurethane': 216, 'water-based polyurethane': 15, 'water-borne polyurethane': 8, 'aqueous polyurethane': 0, 'waterborne pu': 0, 'water-borne polyurethanes': 0}	waterborne polyurethane
脱胶	{'脱胶':0.99203,'沤麻':0.00797}	{'degumming':0.94419,'retting':0.05581}	{'degumming': 237, 'retting': 99}	degumming
织物组织	{'织物组织':0.6718,'织物结构':0.13434,'组织结构':0.04521,'织物组织结构':0.03151,'织物纹理':0.02692,'面料肌理':0.02393,'织造':0.01675,'织物':0.01189,'组织':0.01086,'肌理':0.00754,'组织图':0.00737,'编织':0.00335,'纹理':0.00306,'面料':0.00285,'织物组织图':0.00134,'质感':0.00047,'材质':0.00047,'纺织品':0.00034}	{'fabric weave':0.29146,'fabric texture':0.25126,'fabric structure':0.1407,'fabric weave and stitch':0.1407,'weave':0.0402,'fabric weaves':0.03015,'fabric organization':0.0201,'fabric':0.01508,'weave structure':0.01508,'texture':0.01508,'weave diagram':0.01005,'fabric wave':0.01005,'weave pattern':0.01005,'textile weave':0.01005}	{'fabric': 1982, 'texture': 264, 'weave': 169, 'fabric structure': 111, 'weave structure': 47, 'fabric texture': 29, 'fabric weave': 19, 'weave pattern': 16, 'fabric weaves': 8, 'weave diagram': 3, 'fabric weave and stitch': 0, 'fabric organization': 0, 'fabric wave': 0, 'textile weave': 0}	fabric weave
编织工艺	{'编织工艺':0.69218,'织造工艺':0.09785,'针织工艺':0.07822,'针织技术':0.06832,'生产工艺':0.02616,'编织技术':0.01079,'上机工艺':0.01079,'编织过程':0.00768,'织造技术':0.0039,'织造过程':0.00235,'织造工序':0.00176}	{'knitting technology':0.525,'knitting process':0.365,'weaving process':0.07,'braiding process':0.015,'weaving technology':0.015,'braiding technique':0.01}	{'knitting process': 63, 'weaving process': 21, 'knitting technology': 18, 'weaving technology': 8, 'braiding process': 5, 'braiding technique': 0}	knitting technology
经编	{'经编':0.98937,'经编针织':0.01063}	{'warp knitting':0.69124,'warp-knitting':0.17512,'warp-knitted':0.08756,'warp knitted':0.04608}	{'warp knitting': 155, 'warp-knitted': 87, 'warp knitted': 9, 'warp-knitting': 7}	warp knitting
微胶囊	{'微胶囊':0.99377,'微胶囊化':0.00623}	{'microcapsule':0.71495,'microcapsules':0.25701,'microencapsulation':0.01869,'micro-capsule':0.00935}	{'microcapsules': 477, 'microcapsule': 395, 'microencapsulation': 258, 'micro-capsule': 0}	microcapsule
图案	{'图案':0.37457,'纹样':0.32872,'设计':0.06367,'纸样':0.05226,'样板':0.04666,'花型':0.0336,'图案纹样':0.02947,'图纹':0.01105,'版型':0.00747,'纹章':0.0056,'纹样图案':0.0056,'花纹图案':0.0056,'结构':0.0056,'纹饰':0.0056,'造型':0.0056,'模式':0.00373,'花样':0.00373,'花纹':0.00373,'花型图案':0.00373,'款式':0.00373,'产品设计':0.00026}	{'pattern':0.84186,'patterns':0.09302,'design':0.06512}	{'design': 1728, 'patterns': 312, 'pattern': 144}	pattern
包芯纱	{'包芯纱':0.9698,'包覆纱':0.01533,'芯纱':0.01487}	{'core-spun yarn':0.74879,'core spun yarn':0.13527,'core yarn':0.03865,'covering yarn':0.01932,'corn-spun yarn':0.01449,'corn spun yarn':0.01449,'corespun yarn':0.00966,'covered yarn':0.00966,'core-spun yarns':0.00966}	{'core-spun yarn': 128, 'core yarn': 24, 'core spun yarn': 18, 'covered yarn': 15, 'core-spun yarns': 9, 'covering yarn': 0, 'corn-spun yarn': 0, 'corn spun yarn': 0, 'corespun yarn': 0}	core-spun yarn
聚对苯二甲酸乙二酯纤维	{'聚对苯二甲酸乙二酯纤维':0.40332,'涤纶':0.2455,'聚酯纤维':0.20473,'涤纶纤维':0.09374,'聚对苯二甲酸乙二醇酯':0.02766,'聚对苯二甲酸乙二醇酯纤维':0.02136,'聚对苯二甲酸乙二酯':0.00369}	{'polyester fiber':0.87324,'polyethylene terephthalate fiber':0.06103,'polyethylene terephthalate':0.05164,'polyester fibre':0.01408}	{'polyethylene terephthalate': 420, 'polyester fiber': 275, 'polyester fibre': 162, 'polyethylene terephthalate fiber': 36}	polyester fiber
羊毛织物	{'羊毛织物':0.52526,'毛织物':0.35545,'羊毛':0.08327,'羊毛面料':0.01383,'毛纺面料':0.00586,'羊毛针织物':0.00504,'毛纺织物':0.00504,'纯毛织物':0.00504,'羊毛纤维':0.0007,'绵羊毛':0.00051}	{'wool fabric':0.80095,'wool fabrics':0.16114,'wool':0.03791}	{'wool': 5349, 'wool fabric': 707, 'wool fabrics': 151}	wool fabric
光催化	{'光催化':0.9579,'光催化剂':0.01784,'光催化降解':0.01306,'光催化活性':0.00705,'光触媒':0.00233,'光催化性能':0.00128,'光降解':0.00054}	{'photocatalysis':0.61538,'photocatalytic':0.27404,'photo-catalysis':0.02885,'photocatalyst':0.02404,'photo catalysis':0.02404,'photocatalytic degradation':0.01442,'photocatalyticity':0.00962,'photocatalytic activity':0.00962}	{'photocatalysis': 4903, 'photocatalytic activity': 3912, 'photocatalyst': 666, 'photocatalytic degradation': 533, 'photocatalytic': 449, 'photo-catalysis': 33, 'photo catalysis': 4, 'photocatalyticity': 0}	photocatalysis
数值模拟	{'数值模拟':0.94796,'数值仿真':0.04223,'仿真':0.00615,'模拟':0.00264,'仿真模拟':0.00053,'模拟仿真':0.00029,'计算机模拟':0.0001,'模拟计算':0.0001}	{'numerical simulation':0.9902,'simulation':0.0098}	{'simulation': 1420, 'numerical simulation': 341}	numerical simulation
机织物	{'机织物':0.83343,'织物':0.06056,'机织面料':0.04973,'梭织面料':0.02506,'机织布':0.02506,'面料':0.00551,'纺织品':0.00065}	{'woven fabric':0.89806,'woven fabrics':0.07282,'fabric':0.02913}	{'fabric': 1982, 'woven fabric': 1046, 'woven fabrics': 874}	woven fabric
数码印花	{'数码印花':0.94626,'数字印花':0.02865,'喷墨印花':0.01232,'数码喷墨印花':0.01137,'喷射印花':0.0007,'喷墨打印':0.0007}	{'digital printing':0.93103,'ink-jet printing':0.01478,'digital textile printing':0.01478,'digital print':0.01478,'digital ink-jet printing':0.01478,'digital jet printing':0.00985}	{'ink-jet printing': 140, 'digital printing': 106, 'digital textile printing': 15, 'digital ink-jet printing': 8, 'digital print': 4, 'digital jet printing': 0}	digital printing
碳纤维		{'carbon fiber':0.93564,'carbon fibers':0.06436}	{'carbon fibers': 1467, 'carbon fiber': 405}	carbon fibre
K/S值		{'k/s value':0.90955,'k / s value':0.04523,'k/s values':0.0201,'k/svalue':0.01508,'k/svalues':0.01005}	{'k/s value': 108, 'k/s values': 8, 'k / s value': 0, 'k/svalue': 0, 'k/svalues': 0}	k/s value
环保	{'环保':0.74529,'环境保护':0.17298,'绿色环保':0.04368,'环境友好':0.01934,'生态环保':0.01069,'环保型':0.00802}	{'environmental protection':0.6631,'environment protection':0.06952,'environment-friendly':0.06952,'environmental':0.03743,'environment friendly':0.03209,'environmentally friendly':0.02674,'eco-friendly':0.02139,'environmentalprotection':0.02139,'environmental friendly':0.01604,'enviromental protection':0.0107,'environmentally-friendly':0.0107,'environment protect':0.0107,'environmental-friendly':0.0107}	{'environmental protection': 819, 'eco-friendly': 800, 'environment friendly': 386, 'environmental-friendly': 340, 'environmentally-friendly': 128, 'environmentally friendly': 69, 'environment protection': 45, 'environmental': 28, 'environment-friendly': 22, 'environmental friendly': 7, 'environmental\x7fprotection': 0, 'enviromental protection': 0, 'environment protect': 0}	environmental protection
图案设计	{'图案设计':0.49417,'花型设计':0.14025,'纸样设计':0.10826,'纹样设计':0.09842,'样板设计':0.04429,'结构设计':0.03691,'版型设计':0.02707,'平面设计':0.01231,'纹样图案':0.00738,'纸样':0.00738,'纹样':0.00738,'花纹设计':0.00492,'花样设计':0.00492,'样版设计':0.00492,'图形设计':0.00142}	{'pattern design':0.9596,'graphic design':0.01515,'patterns design':0.01515,'parttern design':0.0101}	{'pattern design': 54, 'graphic design': 0, 'patterns design': 0, 'parttern design': 0}	pattern design
定量分析	{'定量分析':0.95794,'量化分析':0.0246,'定量':0.00938,'定量化学分析':0.00808}	{'quantitative analysis':0.94949,'quantitative determination':0.0202,'quantitative':0.0101,'quantitatively analysis':0.0101,'quantitative chemical analysis':0.0101}	{'quantitative analysis': 576, 'quantitative determination': 10, 'quantitative': 9, 'quantitative chemical analysis': 5, 'quantitatively analysis': 0}	quantitative analysis
色差		{'color difference':0.85106,'chromatic aberration':0.07447,'colour difference':0.03723,'color deviation':0.02128,'chromatism':0.01596}	{'color difference': 268, 'colour difference': 33, 'chromatic aberration': 13, 'color deviation': 0, 'chromatism': 0}	color difference
染色工艺	{'染色工艺':0.78311,'染色':0.11896,'染色技术':0.02845,'染整工艺':0.02587,'染色技艺':0.01422,'染色过程':0.01402,'染色方法':0.00826,'印染技术':0.00711}	{'dyeing process':0.75253,'dyeing technology':0.11616,'dyeing':0.09091,'dyeing technique':0.0202,'dyeing method':0.0101,'dyeing processes':0.0101}	{'dyeing': 3684, 'dyeing process': 241, 'dyeing technology': 10, 'dyeing processes': 6, 'dyeing method': 5, 'dyeing technique': 3}	dyeing process
预处理	{'前处理':0.63873,'预处理':0.36127}	{'pretreatment':0.85052,'pre-treatment':0.1134,'preprocessing':0.01546,'pre-processing':0.01031,'preprocess':0.01031}	{'pretreatment': 858, 'pre-treatment': 695, 'pre-processing': 6, 'preprocessing': 3, 'preprocess': 3}	pretreatment
等离子体	{'等离子体':0.95086,'等离子':0.02486,'等离子体处理':0.01375,'低温等离子体':0.00918,'低温等离子':0.00073,'等离子处理':0.00062}	{'plasma':0.97449,'plasma treatment':0.01531,'low temperature plasma':0.0102}	{'plasma treatment': 687, 'plasma': 670, 'low temperature plasma': 41}	plasma
条干	{'条干':0.69559,'条干均匀度':0.17325,'成纱条干':0.03185,'纱线条干':0.02215,'均匀度':0.0201,'均匀性':0.0201,'条干不匀':0.01638,'纱线条干均匀度':0.00692,'不匀率':0.00691,'条干均匀性':0.00415,'条干不匀率':0.00259}	{'evenness':0.77202,'yarn evenness':0.16062,'mass':0.02073,'yarn levelness':0.01554,'uneveness':0.01036,'eveness':0.01036,'unevenness':0.01036}	{'mass': 266, 'evenness': 85, 'yarn evenness': 44, 'unevenness': 28, 'uneveness': 3, 'yarn levelness': 0, 'eveness': 0}	evenness
纹样	{'纹样':0.38001,'图案':0.36432,'纸样':0.04864,'样板':0.04343,'图案纹样':0.0315,'花型':0.03127,'设计':0.02016,'纹板图':0.01312,'图纹':0.01191,'版型':0.00695,'纹章':0.00521,'纹样图案':0.00521,'花纹图案':0.00521,'结构':0.00521,'纹饰':0.00521,'造型':0.00521,'模式':0.00347,'花样':0.00347,'花纹':0.00347,'花型图案':0.00347,'款式':0.00347,'产品设计':8e-05}	{'pattern':0.78351,'patterns':0.12887,'chain draft':0.03608,'grain appearance':0.03093,'design':0.02062}	{'design': 1728, 'patterns': 312, 'pattern': 144, 'chain draft': 0, 'grain appearance': 0}	pattern
